ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
9;7;23801;1193957984;82855455;3399626051;0.024371932017531184
9;8;23962;1003065328;83097998;3411223947;0.02436017080411285
9;9;23763;2215283040;79197167;3381961250;0.023417526442681743
9;10;23780;2016145184;80304693;3389629143;0.023691291764421793
10;0;0;2016145184;0;0;0.0
10;1;21467;1822756816;73459931;3362518845;0.021846697189291144
10;2;21893;1631806960;79597389;3374961048;0.023584683754252326
10;3;21658;1444167888;75116417;3379764864;0.022225338158909272
10;4;21523;1260725248;74510455;3389717783;0.021981315191985113
10;5;21616;1069718288;83185942;3430111095;0.024251675731803084
10;6;21552;875892000;77231044;3398493238;0.022725083909671148
10;7;21521;2095381056;71199160;3379731272;0.02106651513682831
10;8;21642;1904453248;81104862;3419664056;0.023717201652512267
10;9;21695;1716398080;73192442;3363435423;0.021761215184775678
10;10;21510;1524891648;75277811;3400069940;0.022140077212646984
11;0;0;1524891648;0;0;0.0
11;1;19895;1316823216;80812859;3419415621;0.023633529221688022
11;2;19893;1098646528;77684466;3396553952;0.022871553668169144
11;3;19918;890782912;84022939;3422079656;0.024553180359984
11;4;19842;2083355184;77548096;3384489995;0.022912786302977387
11;5;19941;1878845536;74518849;3372171247;0.022098180531695873
11;6;20112;1660767200;78940411;3388162340;0.023298886853219673
11;7;19962;1439441360;74535638;3370186132;0.022116178478180266
11;8;19530;1229788832;72725923;3380978927;0.021510315376183354
11;9;19866;1023183216;76916088;3388211051;0.02270109117827796
11;10;19727;2208143552;75197679;3383063857;0.022227685369995663
12;0;0;2208143552;0;0;0.0
12;1;18518;1993573056;80549485;3391384324;0.02375121109983641
12;2;18334;1776452384;69992435;3362113591;0.020817986396224647
12;3;18658;1561799520;81246782;3405535824;0.023857268341570675
12;4;18780;1344429680;83359257;3387354326;0.024608957014082382
12;5;18438;1134976096;78509306;3394248946;0.02313009659840077
12;6;18766;920896336;76822251;3339674616;0.023002914904330308
12;7;19190;2109981616;85050151;3372364510;0.025219738479574972
12;8;18885;1899283776;81751679;3389560253;0.024118668174623537
12;9;18438;1690604512;79062509;3385349457;0.023354312458502568
12;10;18521;1478859840;76189206;3382588551;0.0225239353977817
13;0;0;1478859840;0;0;0.0
13;1;18731;1253635888;77592232;3301901383;0.023499257851699443
13;2;18575;1036650784;75566552;3303481871;0.022874819645105297
13;3;18419;2242561160;73697312;3276039831;0.022495853469981817
13;4;18662;2020060288;84222256;3328946334;0.025299974090840963
13;5;18596;1801263072;79604462;3294048899;0.024166144596143108
13;6;18839;1574097440;82704598;3300138413;0.025060948254233117
13;7;18962;1353340288;81516040;3283472123;0.024826170878381477
13;8;18563;1126347248;78966498;3292514371;0.023983645658626648
13;9;18467;898962688;78143431;3298056102;0.023693784636535573
13;10;18950;2075994480;83630735;3299924487;0.025343226891846145
14;0;0;2075994480;0;0;0.0
14;1;18550;1835624608;77392791;3200176919;0.02418391012712632
14;2;18878;1592925456;83428584;3206311901;0.026020108640703324
14;3;18573;1361489392;72305915;3169051623;0.022816262908191824
14;4;18354;1125675264;73068829;3214016709;0.02273442723411803
14;5;18668;888405104;76482242;3188168809;0.02398939534948571
14;6;18753;2051683472;79108288;3198139355;0.024735722624569623
14;7;18597;1811964000;78879051;3226601036;0.024446484123672736
14;8;18675;1569788896;85242758;3259328070;0.026153475860440156
14;9;18555;1336491552;78520305;3217053194;0.024407524608683857
14;10;18844;1105636560;82188161;3228698001;0.025455512090181393
15;0;0;1105636560;0;0;0.0
15;1;18644;855170480;83321821;3122248253;0.026686481742744367
15;2;18574;2011570864;78886083;3097626905;0.025466618614613305
15;3;18413;1758967392;74896216;3088479313;0.024250191893708823
15;4;18270;1512264656;71296186;3094087979;0.023042714520045002
15;5;18452;1265263856;78336839;3134242351;0.024993867808277854
15;6;18402;1018465904;79129331;3133111345;0.025255831116975512
15;7;18533;2163646656;78437488;3152444836;0.02488147837014205
15;8;18574;1911044256;81682336;3143353025;0.02598573413496882
15;9;18474;1664525456;82925760;3138967289;0.02641816634744804
15;10;18529;1417588800;81507044;3151562082;0.02586242691061797
16;0;0;1417588800;0;0;0.0
16;1;18524;1162125216;80056418;3007112009;0.02662235984572532
16;2;18367;909474544;77632447;3023924262;0.02567274847970382
16;3;18466;2043280144;78353490;3002298983;0.026097830510439873
16;4;18501;1781422656;81760842;3031268915;0.026972480598937556
16;5;18490;1518268000;79459029;3016474731;0.026341685605189312
16;6;18443;1255054272;80829495;3044270556;0.02655135064808609
16;7;18343;995830816;75685317;3007738106;0.025163532971510652
16;8;18393;2137433968;75201236;3028576626;0.02483055417994235
16;9;18378;1880803680;79831084;3034171381;0.02631067068258001
16;10;18517;1621752112;80874144;3044139716;0.026567159048228126
17;0;0;1621752112;0;0;0.0
17;1;18144;1354225768;74137178;2911696081;0.0254618531390605
17;2;18233;1089690848;80348961;2956524013;0.027176833554099736
17;3;18215;821130112;75942132;2902514564;0.026164255277790226
17;4;18121;1979040704;75520767;2928583790;0.02578747012732731
17;5;18228;1713069040;80234046;2940328480;0.027287443068265624
17;6;18343;1435620048;81266658;2931150853;0.027725170786356657
17;7;18236;1166896304;79225282;2936200921;0.02698224138320131
17;8;18360;895160256;82518196;2935400408;0.02811139351725538
17;9;18254;2026594512;80269588;2934140846;0.027357101179866127
17;10;18160;1759330208;75629811;2927926273;0.025830503895341767
18;0;0;1759330208;0;0;0.0
18;1;17828;1485472128;71367669;2768338961;0.025779960476451206
18;2;18112;1210674112;80633934;2819213599;0.028601569610972922
18;3;18121;935300128;82401605;2843501169;0.0289789242565984
18;4;18114;2049919184;78148943;2817993306;0.0277321251379864
18;5;17942;1765804256;72701619;2770233827;0.026243856490169123
18;6;18061;1481676208;74576369;2773599725;0.026887934956079503
18;7;17963;1207171568;77024256;2796689587;0.02754122458138934
18;8;18109;924932720;78256238;2821146325;0.02773916308648046
18;9;18102;2036500960;84235396;2826640529;0.029800533578919756
18;10;18085;1749244624;79542907;2821660143;0.028190109002790703
19;0;0;1749244624;0;0;0.0
19;1;17803;1454763456;77685402;2594241325;0.02994532592298444
19;2;17768;1171570752;73106050;2594454770;0.028177808626819886
19;3;17803;881186512;75141236;2626826879;0.028605324774431014
19;4;17822;1982982784;76463022;2612012215;0.02927360812514424
19;5;17758;1684099248;74199597;2583085326;0.02872518234420879
19;6;17790;1383621552;80097976;2690082268;0.02977528864184164
19;7;17758;1098195360;77120137;2639232239;0.029220671019546455
19;8;17818;2195849536;75729780;2588839497;0.029252404441355757
19;9;17844;1896413952;78465157;2665222180;0.029440381214297113
19;10;17747;1608978752;74089560;2600599056;0.02848942047758707
20;0;0;1608978752;0;0;0.0
20;1;17599;1306004160;72285340;2495391211;0.028967538108396425
20;2;17692;1008826752;80092839;2576130287;0.031090368140219767
20;3;17688;2099491752;72671395;2477620440;0.029331125069342743
20;4;17649;1796980160;73415908;2493290176;0.02944539256067722
20;5;17746;1493114320;77107579;2525534548;0.030531191529754517
20;6;17609;1197635200;72711583;2480382951;0.029314660049040146
20;7;17656;898905264;76540362;2514546384;0.030439033651168474
20;8;17755;1988358592;78792456;2541146472;0.03100665658913659
20;9;17744;1682179792;78670018;2528177359;0.03111728602423577
20;10;17735;1383092624;76453129;2506505980;0.03050187376772187
21;0;0;1383092624;0;0;0.0
21;1;17614;1074012480;76806079;2390606818;0.032128277398730316
21;2;17607;2153307216;80234303;2427786458;0.0330483361646628
21;3;17563;1847559184;75255827;2329497674;0.032305602980396024
21;4;17553;1533266912;73712228;2355245649;0.0312970445487489
21;5;17433;1225128480;72633615;2328106407;0.031198580434987824
21;6;17573;910267008;77118145;2406071779;0.032051473141026354
21;7;17652;1992514304;80215208;2402379915;0.03338989287212718
21;8;17459;1675972080;73238259;2313725934;0.0316538177334533
21;9;17520;1366131248;75349925;2382957743;0.031620336206692023
21;10;17533;1060303696;76483912;2383038951;0.03209511618259739
22;0;0;1060303696;0;0;0.0
22;1;17373;2121944928;75721147;2197732713;0.034454211175042014
22;2;17348;1812585904;73621514;2193489723;0.033563646653109944
22;3;17331;1495959344;74858200;2169124694;0.03451078686581031
22;4;17403;1183282304;79753041;2235536199;0.035675128425867196
22;5;17289;868747008;69156070;2146278513;0.03222138673108917
22;6;17332;1950939152;76001326;2196170184;0.03460630080205114
22;7;17311;1628376896;72143435;2155863047;0.03346383022817312
22;8;17478;1311262240;75212126;2172971980;0.03461256136399881
22;9;17278;994296784;70452311;2165367772;0.03253595620614973
22;10;17479;2066416720;83548711;2355760384;0.035465708468251415
23;0;0;2066416720;0;0;0.0
23;1;17288;1744345024;80717932;2128189697;0.03792797799640884
23;2;17266;1429483456;75671658;2060002048;0.036733778043311925
23;3;17303;1088728848;76020218;2047962853;0.03711992035824294
23;4;17255;2150020912;73265123;2052275006;0.03569946658503524
23;5;17389;1846162400;78898000;2149222532;0.036710019007003415
23;6;17368;1521084544;81289064;2172757943;0.03741284861569138
23;7;17217;1193017200;71531491;2010248486;0.035583407473338595
23;8;17250;867434216;72318064;2026477927;0.03568657868731871
23;9;17317;1933951184;74334586;2054646565;0.03617877024022377
23;10;17348;1598789552;77778507;2120547475;0.03667850303610864
24;0;0;1598789552;0;0;0.0
24;1;17144;1270073728;78312553;2020408841;0.0387607455534788
24;2;17113;929193048;72002879;1919566112;0.03750997610860094
24;3;17173;1980684952;76461841;1952114595;0.039168725645432716
24;4;17245;1632327808;82119406;2081675715;0.03944870250840199
24;5;17205;1298710784;76968246;1965127037;0.03916705869433315
24;6;17156;955716544;73381981;1937514341;0.0378742905005419
24;7;17131;1996767992;72340368;1898178972;0.03811040427014065
24;8;17243;1654311760;81859839;2019540554;0.04053389214584695
24;9;17159;1330292560;77849043;2022056112;0.03849994198380584
24;10;17157;989604984;74051620;1942307026;0.03812559961362154
25;0;0;989604984;0;0;0.0
25;1;17113;2024796712;73324034;1980435774;0.0370241918281971
25;2;17100;1662990400;70540354;1955501856;0.036072762489876155
25;3;17137;1316564176;72618293;1985405443;0.03657605213888799
25;4;17183;961748536;78028154;2037998024;0.03828666813270669
25;5;17193;2000674176;76485625;2047222345;0.03736068296968496
25;6;17193;1641781072;71582092;1947895480;0.03674842553667202
25;7;17195;1300050912;76493345;2034367093;0.03760056150298731
25;8;17142;949691056;72730233;1933249160;0.037620723962968124
25;9;17199;1989014344;79558946;2086806016;0.03812474441323443
25;10;17277;1623868792;82633396;2154273925;0.03835788710110299
26;0;0;1623868792;0;0;0.0
26;1;17148;1269473624;75165726;2060730834;0.03647527603306585
26;2;17164;913936968;74698930;2023795113;0.03691032235435584
26;3;17210;1941864000;78217378;2119230136;0.03690839266170194
26;4;17147;1571526688;71092746;2021684018;0.03516511253342658
26;5;17167;1218552960;77819434;2103608763;0.03699330187663798
26;6;17133;860233808;75354581;2061183764;0.036558885392035334
26;7;17227;1890993648;78958756;2126728629;0.03712685996855502
26;8;17268;1530995584;80204767;2166774882;0.03701573599836478
26;9;17088;1176942768;71796710;2038974999;0.03521215808688785
26;10;17266;822874416;80400296;2149255839;0.037408434371130256
27;0;0;822874416;0;0;0.0
27;1;17213;1878528848;79934580;2182701470;0.03662185649235852
27;2;17232;1508319744;77075425;2152654464;0.03580482900947358
27;3;17198;1148948384;77861318;2112828777;0.03685169325957169
27;4;17121;2162277440;72679673;2048069061;0.035486924920643585
27;5;17127;1793185256;76042484;2116183922;0.0359337783495361
27;6;17095;1435092640;73162478;2071147392;0.035324611991689674
27;7;17219;1065851488;82002398;2218976983;0.03695504668513274
27;8;17291;2078392768;78831693;2157788343;0.03653356143837505
27;9;17138;1698165344;74227356;2086829875;0.035569433277353284
27;10;17097;1336230384;72307488;2073913840;0.03486523239557531
28;0;0;1336230384;0;0;0.0
28;1;17183;959017688;73926273;2139968182;0.03454550101343516
28;2;17171;1959226280;75480003;2171688111;0.03475637344869178
28;3;17085;1576766824;69834060;2098940604;0.03327109869946563
28;4;17103;1206591248;71532149;2105084768;0.03398065013218508
28;5;17106;837823120;69949147;2096128728;0.03337063514545754
28;6;17133;1877068992;72798820;2166722853;0.03359858410096347
28;7;17131;1503120384;73126802;2157294304;0.03389746214246714
28;8;17233;1134326928;77680904;2170909601;0.035782652563799686
28;9;17189;2134329424;75104209;2164061240;0.03470521425724533
28;10;17191;1764208160;77874213;2171355173;0.03586433669090027
29;0;0;1764208160;0;0;0.0
29;1;17134;1379542840;74317975;2191378818;0.033913796368547355
29;2;17121;996207752;73451882;2208749662;0.03325496015401314
29;3;17140;1986768000;76143981;2191073975;0.034751898780596854
29;4;17297;1598695728;79455999;2283582072;0.034794457345871124
29;5;17144;1215080400;75826858;2210847002;0.03429765059789515
29;6;17137;835168792;70324616;2144008927;0.03280052387580381
29;7;17132;1860674432;71965356;2199018797;0.03272612134929377
29;8;17095;1473519704;72287250;2169068413;0.03332640389153092
29;9;17297;1095164144;82437591;2334676690;0.03531006727959408
29;10;17200;2085211496;77632316;2224972892;0.0348913536336244
30;0;0;2085211496;0;0;0.0
30;1;17095;1687914672;71156514;2216736749;0.032099668141514624
30;2;17135;1298488144;75315800;2253985726;0.03341449731966936
30;3;17254;915933528;78160957;2309733664;0.03383981374919251
30;4;17177;1893735016;75791185;2260957449;0.03352172108923223
30;5;17217;1503487120;76550611;2304800376;0.033213553675678506
30;6;17264;1116159248;80391899;2331611727;0.03447911076662723
30;7;17253;2086336296;78441675;2291546113;0.03423089526979115
30;8;17117;1692816784;74293109;2269741908;0.032731963373520266
30;9;17230;1300725840;81211253;2349354769;0.03456747106549918
30;10;17207;911466728;78125772;2313825629;0.0337647621414604
31;0;0;911466728;0;0;0.0
31;1;17268;1880195872;77391066;2317507538;0.033394094617180056
31;2;17251;1481970288;81227749;2360171490;0.03441603686179601
31;3;17253;1082907904;77450542;2308365832;0.03355210899690704
31;4;17217;2047692000;76515261;2318998990;0.032994952274645016
31;5;17144;1645538224;75229575;2272751260;0.03310066364235565
31;6;17168;1245136048;77209087;2316673401;0.03332756657311835
31;7;17122;845958200;73039855;2218096747;0.03292906637133263
31;8;17176;1844849552;78948243;2334393763;0.033819591300887145
31;9;17129;1447647560;73893320;2260840907;0.03268399814034327
31;10;17170;1045909968;73000158;2268642241;0.03217790653841572
32;0;0;1045909968;0;0;0.0
32;1;17217;1998739712;80370552;2376323331;0.03382138741455634
32;2;17119;1590326864;71504310;2276751186;0.03140629087609049
32;3;17078;1184448992;71771498;2288482136;0.031362052983051995
32;4;17167;2132408816;77185266;2295220178;0.03362869790873719
