ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
10;3;20689;304999760;945333;4253003;0.22227423775623953
10;4;20702;301245856;832163;4112724;0.20233864465497806
10;5;20695;297235408;775433;3961079;0.1957630736473572
10;6;20725;293158400;1242472;4616439;0.26914078145514325
10;7;20780;289766096;871008;4365046;0.19954153976842398
10;8;20718;285755648;838201;4189848;0.20005522873383474
10;9;20753;281745184;1019045;4440943;0.22946590397579975
10;10;20768;277736784;876708;4182094;0.20963373850516034
11;0;0;277736784;0;0;0.0
11;1;18996;273982880;846642;4473413;0.1892608618967218
11;2;19010;269604720;976484;4724592;0.20668112717457932
11;3;18987;265160000;850502;4524705;0.18796849739375274
11;4;18999;261399968;823249;4396273;0.18726066374858885
11;5;18996;257021808;1188113;4850012;0.24497114646314277
11;6;18955;252577104;797435;4237344;0.18819217887431372
11;7;18969;248817056;826521;4223655;0.1956885683134631
11;8;18975;244622752;982632;4527265;0.21704759937843268
11;9;18955;240428448;978737;4601955;0.2126785246704933
11;10;18990;236234144;985278;4534005;0.21730853847757114
12;0;0;236234144;0;0;0.0
12;1;17410;231855984;859172;4667198;0.18408732605730463
12;2;17457;227405136;823823;4472297;0.18420578955288525
12;3;17364;222841072;802207;4455689;0.18004106660047414
12;4;17474;218279056;796815;4397802;0.18118482823919768
12;5;17413;214452464;926028;4704977;0.19681881547986313
12;6;17422;209890448;837527;4548873;0.18411747261354625
12;7;17433;205328432;827181;4394324;0.18823850949543092
12;8;17434;201501840;972364;4621546;0.2103979923601323
12;9;17366;196939824;801809;4612564;0.1738315175681031
12;10;17511;504295928;935975;5227723;0.179040664549365
13;0;0;504295928;0;0;0.0
13;1;16571;499818208;983049;5760329;0.17065848148604013
13;2;16566;494927232;1180058;6216764;0.1898186902382011
13;3;16565;490269808;1018627;5849838;0.17412909554076542
13;4;16601;484410800;1035705;5865416;0.17657826827628254
13;5;16571;480015608;1156235;6196861;0.1865839817933628
13;6;16555;475358184;1068023;5896673;0.1811229824004146
13;7;16534;471163936;1022275;5770602;0.17715222779183176
13;8;16569;466030256;1014133;5816295;0.17436065399021197
13;9;16541;460678176;1193408;6131678;0.1946299202273831
13;10;16618;456252312;1030666;5947086;0.17330605274583216
14;0;0;456252312;0;0;0.0
14;1;15648;452513024;1060863;6265052;0.16933027850367402
14;2;15663;449498328;1062665;5994333;0.17727827266186247
14;3;15613;445758576;1191436;6345373;0.18776453330639506
14;4;15657;442729992;1064670;6232470;0.17082633370076392
14;5;15693;439004224;1079753;6350794;0.17001858350310214
14;6;15696;435975600;1092986;6219060;0.17574778181911735
14;7;15717;432692944;1199523;6594560;0.18189583535520187
14;8;15659;428758272;1134940;6822071;0.16636297100982972
14;9;15725;425010384;1108553;6521135;0.16999387376583985
14;10;15713;421990032;1188341;6619118;0.1795316233975584
15;0;0;421990032;0;0;0.0
15;1;14811;418032688;1070525;6372955;0.16797937534471843
15;2;14830;414772616;1096319;6334281;0.1730771021999182
15;3;14777;410801488;1072183;6395417;0.16764864589752318
15;4;14811;407555272;1116201;6530714;0.17091561504607305
15;5;14852;403584072;1308975;6698549;0.19541172274771745
15;6;14846;400324032;1119203;6587084;0.1699087183342432
15;7;14889;396352944;1142012;6651404;0.17169487825427535
15;8;14832;393106688;1168297;7226572;0.1616668317979811
15;9;14837;389135472;1240248;6716008;0.18467041730742428
15;10;14793;385875440;1068563;6469671;0.16516496743033765
16;0;0;385875440;0;0;0.0
16;1;14018;381672864;1107051;6705485;0.165096335313553
16;2;14006;378195144;1078513;6251756;0.1725136105759726
16;3;14005;373992464;1351276;6884695;0.19627245651405037
16;4;14080;370500960;1282865;8605140;0.1490812467897094
16;5;13987;366298304;1037977;6319209;0.16425742525686363
16;6;13985;362804736;1028696;6138713;0.16757519043486802
16;7;14046;358604192;1170539;6388039;0.18323917559050595
16;8;14035;355126472;1186755;6479747;0.1831483544033432
16;9;13972;350923792;1056649;6331538;0.16688662375555513
16;10;13985;347420464;1059739;6377594;0.16616595537439355
17;0;0;347420464;0;0;0.0
17;1;13211;342990008;1196056;6384723;0.18733091474759359
17;2;13245;339275160;1269244;6280829;0.202082241054485
17;3;13222;334824656;993209;5965384;0.16649540079900976
17;4;13243;330886536;972049;5778458;0.16821944539529404
17;5;13270;327155184;982807;5952184;0.16511703939259942
17;6;13240;322729408;1222322;6204860;0.1969942915714456
17;7;13224;318998096;1135753;6182612;0.18370116060978758
17;8;13226;314572288;969760;5834030;0.16622471944779166
17;9;13254;310840976;975611;5991091;0.16284362898176644
17;10;13193;306415168;1114320;6104571;0.1825386255643517
18;0;0;306415168;0;0;0.0
18;1;12500;302452368;905835;5461990;0.1658434013976591
18;2;12543;297786784;1066834;5923812;0.18009248099028125
18;3;12523;293832256;909807;5573885;0.16322672606270133
18;4;12531;289166672;925203;5484262;0.1687014588289181
18;5;12538;285210112;1072809;5865650;0.1828968656500132
18;6;12504;280546576;929983;5560221;0.16725648135209015
18;7;12504;276592048;975225;5856361;0.1665240581992811
18;8;12516;271918288;1009467;6846283;0.1474474543339795
18;9;12532;267972000;966284;5738251;0.1683934704145915
18;10;12496;263992736;1152245;5974924;0.19284680441123603
19;0;0;263992736;0;0;0.0
19;1;11791;259120432;912526;5020922;0.18174470744616228
19;2;11876;254926104;842705;5025247;0.1676942446809082
19;3;11828;250268864;785134;4871751;0.1611605355035592
19;4;11859;245357984;845333;5033507;0.16794115911629803
19;5;11814;241169920;1036190;5183892;0.19988649454888335
19;6;11841;236266720;916691;4987247;0.18380701818057135
19;7;11829;232088936;800069;4933808;0.16216054617447617
19;8;11822;227894608;787212;4761097;0.16534256705965034
19;9;11830;223005880;794133;4771817;0.1664215119733217
19;10;11785;218811560;885866;4768371;0.18577958803960515
20;0;0;218811560;0;0;0.0
20;1;11262;213677488;765205;4623200;0.16551414604602874
20;2;11281;209251720;792328;4889413;0.16204971844268423
20;3;11262;204123152;769323;4564733;0.16853625392766675
20;4;11277;199691936;760791;4687858;0.16228968539576072
20;5;11276;194563328;906549;4902082;0.18493142301577167
20;6;11289;500126728;771730;4624620;0.1668742512898357
20;7;11270;494423304;758073;4464456;0.16980187507727706
20;8;11254;488112512;760308;4368499;0.1740433041188747
20;9;11296;482465400;789324;4758435;0.16587890766607088
20;10;11289;476488512;788354;4689319;0.16811694832447951
21;0;0;476488512;0;0;0.0
21;1;10767;469882488;821620;4352957;0.18874985440931302
21;2;10759;463905600;688030;4297531;0.160098903300523
21;3;10749;457299576;677864;4218840;0.160675446331219
21;4;10762;451322688;689215;4366146;0.1578543182019108
21;5;10767;444716664;674608;4082527;0.16524275283421272
21;6;10760;438739776;923147;4626031;0.19955486679618015
21;7;10759;432448320;730529;4312564;0.1693955150578635
21;8;10760;425842296;692681;4349433;0.15925776992081497
21;9;10743;419865408;688739;4158288;0.16563042290481084
21;10;10742;413231648;691069;4255735;0.1623853458920727
22;0;0;413231648;0;0;0.0
22;1;10272;406967928;605087;3811541;0.15875127671458866
22;2;10291;400363968;719567;3935615;0.18283470308960606
22;3;10254;393447528;576043;3690471;0.15608929049977632
22;4;10300;387156072;631705;3981169;0.1586732439642728
22;5;10267;380239624;587809;3819342;0.15390321160032278
22;6;10268;373948168;600420;3865932;0.15531054348602097
22;7;10291;367436608;643755;4096429;0.1571502887026725
22;8;10290;360518080;699808;3858789;0.18135430571611974
22;9;10270;354226624;583765;3807163;0.15333333508441852
22;10;10266;347310184;607721;3834446;0.15848990962449333
23;0;0;347310184;0;0;0.0
23;1;9828;340706232;493317;3606906;0.13677012930195576
23;2;9805;333567608;440903;3119280;0.14134768279859455
23;3;9786;326963648;415376;3131678;0.1326368802922906
23;4;9877;319706960;673571;3917052;0.1719586566632253
23;5;9839;313130760;453210;3264347;0.13883634307259615
23;6;9822;305643936;437833;3221209;0.13592194731853785
23;7;9840;299075688;472379;3399735;0.13894582960142482
23;8;9822;292471736;451743;3332808;0.13554426177565584
23;9;9811;285333112;428284;3210736;0.13339122244868468
23;10;9891;278076648;660453;3735483;0.17680524847790768
24;0;0;278076648;0;0;0.0
24;1;9540;271187720;482437;3121111;0.15457220201396232
24;2;9469;264361592;326724;2785929;0.11727649914983476
24;3;9500;256820152;351412;2769389;0.12689152733689632
24;4;9497;249996096;318835;2856740;0.11160798672612839
24;5;9514;242452584;334086;2747093;0.1216143756327143
24;6;9502;235536136;480959;3123390;0.15398621369729684
24;7;9525;228065664;462967;2945701;0.15716700371151043
24;8;9506;221168568;314779;2746369;0.11461642627046839
