ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
10;4;20996;222524496;853917;3869841;0.22065945345041307
10;5;20827;212038736;874447;4090057;0.21379824290957314
10;6;20974;202603600;921321;4049757;0.2275003166856678
10;7;21006;504135664;999536;4079327;0.24502473079505516
10;8;21067;496520544;965010;4099112;0.23541928105404292
10;9;20850;489969040;898334;3819816;0.23517729649805122
10;10;20959;482626960;848819;3841578;0.22095581555287958
11;0;0;482626960;0;0;0.0
11;1;19070;475288976;816509;3962481;0.2060600416759096
11;2;19229;467160416;926531;4103072;0.2258139754798356
11;3;19226;459820384;842914;4036613;0.20881714447235838
11;4;19169;452742448;881417;4387892;0.20087481642665772
11;5;19256;444878224;844693;4351529;0.19411406887096466
11;6;19308;437540240;1001312;5011738;0.1997933650961004
11;7;19428;429411680;956240;4573158;0.2090983954632663
11;8;19331;422071648;905290;4545475;0.19916290376693305
11;9;19199;414471568;968324;4638803;0.20874436788973363
11;10;19296;406082960;847233;4374451;0.19367756090992905
12;0;0;406082960;0;0;0.0
12;1;17800;398216496;815224;4306885;0.18928390240278067
12;2;17779;389565792;923539;4451076;0.20748668411862659
12;3;17864;381439280;814078;4409665;0.18461220977103704
12;4;17788;373837152;843403;4532401;0.1860830495801232
12;5;17750;364662064;905716;4433784;0.20427607659732636
12;6;17806;357059936;824772;4463600;0.1847773097947845
12;7;17723;348409232;787088;4170714;0.1887178070709236
12;8;17762;340282720;885073;6288963;0.14073433092228402
12;9;17938;332682640;1043491;4879330;0.21385948480631561
12;10;18181;323505504;840710;4726422;0.17787451057057538
13;0;0;323505504;0;0;0.0
13;1;17928;315116896;1159933;6045208;0.19187644163774017
13;2;17911;305679712;1341732;6517921;0.20585275580971293
13;3;17902;297553200;1291702;6313307;0.20459990303021855
13;4;17876;289164592;1166595;6372852;0.18305697354967604
13;5;18216;280253840;1143942;6174138;0.1852796293182951
13;6;17875;270814608;1206565;6313293;0.19111500131547832
13;7;18017;262688096;1170335;6266517;0.18676004549257585
13;8;18035;254299488;1194138;6508446;0.18347513369550889
13;9;17993;244602256;1260355;6639138;0.18983714452087003
13;10;17813;235163024;1532713;6524856;0.23490372814357896
14;0;0;235163024;0;0;0.0
14;1;17992;226250032;1302589;6826324;0.19081851374180306
14;2;17947;217339280;1344321;6915890;0.19438148958413162
14;3;18024;207113568;1317008;7284541;0.1807949189935234
14;4;17938;198464912;1202056;6981023;0.17218909033819255
14;5;17900;501432568;1285432;6737791;0.19077944091765386
14;6;17978;492485448;1173761;6574132;0.1785423535761071
14;7;18109;483574696;1218954;6836752;0.17829431285499314
14;8;17982;473611080;1223578;6878592;0.17788204330188503
14;9;17973;464700328;1409810;7206371;0.19563383567124146
14;10;17958;454474616;1441248;12672921;0.11372658284542293
15;0;0;454474616;0;0;0.0
15;1;17857;445037432;1302635;7309272;0.17821679094716958
