ThreadPoolSize;RunNr;Runtime;Memory;L2-Cache-Misses;L2-Cache-References;L2-Cache-Miss-Rate
9;6;27063;1022009456;182298431;1382182850;0.13189168929422038
9;7;26080;866461776;180581838;1382466778;0.13062291324008946
9;8;26678;2135116112;184523378;1407464767;0.13110337276385975
9;9;26435;1984086400;180948173;1381492944;0.13098016445605531
9;10;26700;1828970416;182127538;1382439359;0.13174360004604008
10;0;0;1828970416;0;0;0.0
10;1;24345;1659962304;152735062;1168507532;0.13070952288906598
10;2;24063;1488411264;159789595;1222716570;0.13068408404737658
10;3;24650;1319879088;143408217;1110575135;0.12912968468360314
10;4;24166;1151326832;154824588;1192628110;0.12981799330555777
10;5;24886;980603168;144226834;1110827792;0.12983725743872998
10;6;24839;810628768;143432155;1110635575;0.12914421096226816
10;7;24406;2061549584;151990474;1166071676;0.13034402355211652
10;8;24840;1890530704;140723405;1087094238;0.12944913152966228
10;9;23690;1719961616;165181375;1276357628;0.12941621640858794
10;10;23970;1547693360;147951273;1138385722;0.12996585440308253
11;0;0;1547693360;0;0;0.0
11;1;22659;1372121168;122082760;951470415;0.12830957019299438
11;2;22802;1199807104;118795068;924037363;0.12856089240192337
11;3;22715;1027298336;131287301;1006447897;0.13044619735541063
11;4;22564;850544560;115286357;896745862;0.12856079061561368
11;5;21909;2091316576;130604677;1002964219;0.13021868031365932
11;6;23650;1912409040;108544169;847113137;0.12813420576193946
11;7;23238;1730642960;138826574;1062498540;0.13066048448405398
11;8;23314;1560881488;112237346;875279092;0.12823035192528054
11;9;23122;1382818112;134489805;1033209185;0.13016706292637148
11;10;22550;1209690032;137821088;1060551731;0.12995225406878338
12;0;0;1209690032;0;0;0.0
12;1;21754;1021273104;116558546;897373969;0.12988848576685202
12;2;23281;836423584;104154281;815222675;0.1277617566268014
12;3;23724;2064935736;111967395;868850982;0.12886835293926158
12;4;22843;1875292544;95033948;762076947;0.12470387455507166
12;5;22320;1688134992;100569943;789451952;0.12739210124848738
12;6;23472;1501904320;93318193;739179352;0.12624567061770417
12;7;21641;1313069696;96272924;759440423;0.1267682376185551
12;8;22304;1124083664;93153314;734282593;0.12686302914986847
12;9;20785;933627776;117109426;899767894;0.1301551508793889
12;10;23613;2157717776;103466222;812170568;0.12739469524830158
13;0;0;2157717776;0;0;0.0
13;1;21684;1959001392;92187698;736754052;0.12512682862041458
13;2;22859;1761286192;95118001;757211535;0.1256161542758326
13;3;21935;1565804672;80424280;652094630;0.12333222250273707
13;4;21937;1375025152;69134196;570025752;0.12128258373842732
13;5;22498;1177796288;85525355;681977550;0.12540787449674845
13;6;22371;983057264;74180482;598331648;0.12397887066137608
13;7;21754;2185980928;62362739;518032365;0.1203838663632532
13;8;21698;1993525920;91760273;734427962;0.12494114841449895
13;9;22375;1799601424;95973927;760593839;0.12618288773701203
13;10;22212;1600200624;77520205;625849779;0.123863916871336
14;0;0;1600200624;0;0;0.0
14;1;21771;1391848304;81218688;651518800;0.12466054394746552
14;2;21971;1176429840;73071986;601331861;0.12151690395796275
14;3;20764;965705632;73751330;599886257;0.12294218968913635
14;4;21794;2160212288;89715996;712317261;0.1259494903633958
14;5;21311;1947766272;65543254;545772280;0.120092676747892
14;6;22081;1740666096;77047633;627045088;0.12287415127634331
14;7;21187;1528499744;58283912;494625600;0.11783440242478352
14;8;21552;1338326944;73637524;602593671;0.12220095819758452
14;9;21303;1133375728;70722010;574342430;0.123135617892622
14;10;21814;924843008;83887275;681933981;0.12301377748764804
15;0;0;924843008;0;0;0.0
15;1;21227;2106360624;80721752;653136791;0.12359088189842915
15;2;21307;1882770336;68722806;573428228;0.11984552319597354
15;3;21259;1664611280;69658044;573389752;0.12148463371909025
15;4;20776;1437903376;104417121;817570799;0.12771630435885956
15;5;21014;1219338840;79555442;655594391;0.12134857023204763
15;6;20727;1000589696;62380568;519174778;0.12015330991290953
15;7;21428;2200553936;87866056;706803750;0.12431464320895298
15;8;20893;1978807472;73030020;598931610;0.12193382145918129
15;9;21163;1755830064;88944724;704580422;0.12623785904740906
15;10;20964;1533688384;84231161;682268649;0.12345746961033234
16;0;0;1533688384;0;0;0.0
16;1;20312;1300903920;71507490;598405376;0.11949673727530148
16;2;20471;1071520560;81498658;655789144;0.12427570469205572
16;3;20829;839143168;70046317;573862562;0.1220611373494687
16;4;20785;2016040896;73005537;601725745;0.12132692943028389
16;5;20536;1782757968;66853396;545869496;0.12247139012142198
16;6;20924;1556779008;80228563;652963979;0.12286828306037384
16;7;21049;1330507280;88847461;708623997;0.12538026001961658
16;8;20628;1095974576;73886190;603688045;0.1223913420382542
16;9;20990;861525440;66604171;549487625;0.12121141217693483
16;10;20992;2042586480;62518591;518394072;0.12060051296265595
17;0;0;2042586480;0;0;0.0
17;1;20785;1795982528;69669730;575247252;0.12111266895717392
17;2;20681;1558840224;72219001;576903672;0.12518381231589734
17;3;20329;1317052320;63340747;525049519;0.1206376631305894
17;4;20485;1076031456;62805645;522896050;0.12011114828654758
17;5;20466;830285328;77477720;626418546;0.1236836305290361
17;6;20074;2000244496;57412191;491905951;0.11671375571547009
17;7;20627;1758313568;67021701;552349985;0.12133919221524013
17;8;20441;1518799520;63056815;523262675;0.12050699966321886
17;9;20675;1273525216;66443514;547802191;0.12129107019215993
17;10;20448;1040756832;65828725;545618324;0.12064976945312415
18;0;0;1040756832;0;0;0.0
18;1;20189;797994592;59365579;495020523;0.11992549044274675
18;2;20136;1965133344;62742355;523558858;0.11983820737877765
18;3;20511;1708026824;60148312;497595715;0.12087787371722042
18;4;20253;1449973680;61821724;520122893;0.11885984030316465
18;5;19860;1198437296;53278018;464651264;0.11466237612559255
18;6;20284;944602968;59893511;494754490;0.12105703376234139
18;7;20318;2098853872;51540207;442281842;0.11653249603676924
18;8;20479;1843287728;68533349;553561367;0.12380442907606304
18;9;20197;1589542080;59780780;495693098;0.1206003881054644
18;10;20190;1331660368;58942685;494536507;0.11918773268643644
19;0;0;1331660368;0;0;0.0
19;1;19914;1082247280;51769866;442472560;0.11700130286045309
19;2;20114;836243424;59078246;495239912;0.11929217449663064
19;3;20242;1989152144;55462289;466477422;0.11889597734914596
19;4;20044;1721472912;55087019;467010997;0.11795657779767443
19;5;19597;1462405776;54193933;470193485;0.11525879181418262
19;6;20009;1201004544;55060680;465874104;0.11818789567234671
19;7;20204;943480608;54076863;463103380;0.11677060746134049
19;8;20531;2079647360;56219045;471159884;0.11932052559890689
19;9;19717;1805390304;57289233;491844306;0.11647839021643569
19;10;20037;1547090320;54513885;468916032;0.11625511025393988
20;0;0;1547090320;0;0;0.0
20;1;19147;1269241232;48393311;434682180;0.11133033104784741
20;2;19697;999883456;57751737;491169730;0.11758000029847117
20;3;20055;2118188928;59078205;496692015;0.11894333553963013
20;4;20077;1841848240;59435746;494161000;0.12027607601571148
20;5;19802;1571035984;58391306;495235486;0.1179061429374227
20;6;19967;1301713968;55524035;467813414;0.1186884200802331
20;7;20052;1033370560;60249309;496191534;0.12142349248546429
20;8;20203;2148479872;59493769;493320788;0.12059854449109492
20;9;19951;1870986800;59425327;498099701;0.11930408085107443
20;10;19600;1595285088;58363611;493623310;0.11823511940714469
21;0;0;1595285088;0;0;0.0
21;1;20000;1316756688;58123914;492440222;0.11803242587279965
21;2;19308;1033616384;57430508;494343096;0.11617540219475422
21;3;19574;2154583712;51007215;440460088;0.1158043972420039
21;4;19783;1875065168;58247228;492897934;0.11817300090367187
21;5;19800;1587079472;59137742;496618459;0.11908083746842765
21;6;19350;1297386960;61791584;519385736;0.1189705063444407
21;7;19638;1009979760;58167344;495769489;0.11732739769308394
21;8;19864;2121867712;59136859;495040054;0.11945873575716764
21;9;19676;1848791472;54870384;468831087;0.11703657355810111
21;10;19513;1564642752;54651224;471257633;0.11596888872036583
22;0;0;1564642752;0;0;0.0
22;1;19083;1273065872;53728615;470761147;0.11413137074372877
22;2;19357;980253104;57723119;493719081;0.11691490408490006
