ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
10;0;0;2125470064;0;0;0.0
10;1;21738;1841938800;213774116;719091768;0.29728349775796625
10;2;21799;1556166816;209924178;714292354;0.29389111730573
10;3;21992;1281347696;220051407;728248347;0.30216533673779833
10;4;21904;2051727136;225333185;734888104;0.3066224419384533
10;5;21934;1724150112;223657591;729849761;0.30644332978003125
10;6;21836;1505969552;218878941;727677806;0.30079100832161426
10;7;21652;1314560128;213338239;720509175;0.29609371594747563
10;8;21587;2067109152;209107032;718989653;0.2908345497428181
10;9;21918;1802213888;222575527;727412440;0.3059825688436123
10;10;21695;1609993856;210194744;717746158;0.2928538755062204
11;0;0;1609993856;0;0;0.0
11;1;20109;1955363664;212427422;727625400;0.2919461332713234
11;2;19754;1460109296;204432644;713093699;0.28668412620485095
11;3;19804;1705388032;206573658;718313725;0.28758138792350096
11;4;19953;2122149216;215836073;727286580;0.2967689476684693
11;5;19698;1479992144;207690992;716266762;0.2899631855317056
11;6;19663;1919021040;211471274;723081603;0.2924583796941104
11;7;19815;1358982608;210716584;720226330;0.2925699536699804
11;8;19863;1837859472;211710673;720289106;0.2939245800560532
11;9;19823;2107024800;209277007;721437189;0.2900834753058454
11;10;19814;1536963024;212829275;726468546;0.29296419806728974
12;0;0;1536963024;0;0;0.0
12;1;18404;1867416416;209880092;724137570;0.289834557265134
12;2;18467;2247519000;216480412;732263250;0.29563194930238545
12;3;18334;1536686128;209467264;723506886;0.2895166142205867
12;4;18691;1940855536;215183655;733128427;0.29351426990840174
12;5;18759;1309189440;213792940;731466059;0.2922800550613108
12;6;18283;1792252384;207762936;721468033;0.28797247625245787
12;7;18657;2121176736;216523612;735772001;0.29428085290785616
12;8;18580;1529923552;215725818;732543158;0.2944888852541846
12;9;18448;1908132048;208914021;722641333;0.28909780199356516
12;10;18341;1324221968;211784004;727384665;0.2911581920688416
13;0;0;1324221968;0;0;0.0
13;1;18053;1493986800;221673969;753535000;0.29417872958787583
13;2;17969;1651178496;215346535;740242341;0.29091356042817873
13;3;17893;1785299440;213067538;736479095;0.28930561566041463
13;4;18114;1849743216;219261801;750338379;0.29221722776891307
13;5;18054;1976510160;218192914;745070195;0.2928488019843553
13;6;17864;2071850880;209647621;731415196;0.2866328484102209
13;7;18030;2170318672;216031448;741496836;0.2913450705540165
13;8;17947;1304567808;217764331;745830249;0.29197572945315065
13;9;17918;1517084272;211644291;735733511;0.28766433475666436
13;10;17968;1623950496;217082128;742494006;0.2923688625709929
14;0;0;1623950496;0;0;0.0
14;1;17444;1607072400;216482595;750249523;0.2885474610291755
14;2;17593;1602778240;223945236;761542885;0.29406779370015385
14;3;17745;1497019424;231089271;777430647;0.29724744180299856
14;4;17496;2312223504;223357307;765689741;0.2917073261400795
14;5;17387;2102701312;213517538;745143931;0.2865453627374441
14;6;17397;1944220368;211916071;745689530;0.2841880735538824
