ThreadPoolSize;RunNr;Runtime;Memory;Cache-Misses;Cache-References;Cache-Miss-Rate
10;3;22626;488684848;164516476;235088360;0.6998069832126099
10;4;22631;485168896;164107802;238575956;0.6878639606080003
10;5;22561;480663888;163197076;236338215;0.6905234348156518
10;6;22777;476458768;164958234;236840623;0.6964946803065959
10;7;22692;472953632;164799678;236440854;0.6970017034365812
10;8;22658;469126992;163649630;241571008;0.6774390327501552
10;9;22689;464930032;164125851;236541904;0.6938552883213454
10;10;22584;460738384;163739251;235428055;0.6954959170010558
11;0;0;460738384;0;0;0.0
11;1;20769;456913792;149194611;221656516;0.673089217914081
11;2;20641;452717440;148571652;219500300;0.676863093125613
11;3;20821;448523136;150290626;219947267;0.6833029937125793
11;4;20686;444587752;150029940;218826195;0.6856123417948203
11;5;20571;440136576;148498422;219242298;0.6773256043867958
11;6;20836;435942272;150670948;219460024;0.6865530462167452
11;7;20749;431747968;150416674;220080101;0.6834633086614224
11;8;20813;427810536;149844714;221883580;0.6753303421551068
11;9;20670;423359360;149047627;220571006;0.6757353548090541
11;10;20608;419789592;148912214;219813014;0.6774494889551899
12;0;0;419789592;0;0;0.0
12;1;19431;415227640;139255105;207948790;0.6696605688352406
12;2;19147;410776448;137098140;205954191;0.6656729796773109
12;3;19183;406839040;137370493;205841284;0.6673612325504149
12;4;19534;402387840;139862468;208176117;0.6718468478302917
12;5;19297;398450432;138424512;206270323;0.6710830234168005
12;6;19322;393999232;138255256;206793944;0.6685653038272726
12;7;19396;389804928;138475732;208160610;0.6652350413461989
12;8;19235;385240912;137270851;206976199;0.6632204652671199
12;9;19653;380729768;139913420;209633254;0.6674199695435725
12;10;19733;376852304;140627281;210953769;0.6666260653536842
13;0;0;376852304;0;0;0.0
13;1;19827;371979648;139485715;211234768;0.6603350211741658
13;2;19782;367728424;139598301;211955115;0.6586219964542964
13;3;19742;362855768;139022819;210476271;0.660515403182908
13;4;19852;358601880;139164481;213764773;0.6510169053906745
13;5;20110;354153344;141828354;213285710;0.6649688532813567
13;6;19954;349221680;140141418;213660754;0.6559062222536198
13;7;19887;345024720;140251200;211657064;0.6626341561649934
13;8;19836;340097808;138774929;214144242;0.6480441766909614
13;9;19789;335278976;139295387;210736202;0.6609941038986742
13;10;20003;331082624;140667410;213238818;0.6596707453142983
14;0;0;331082624;0;0;0.0
14;1;20323;325842304;141859645;217050096;0.6535801992918723
14;2;20169;321223440;141437203;214348031;0.6598483892767832
14;3;20269;316404608;141172643;214687829;0.657571710783847
14;4;20320;311105320;141954558;215901585;0.6574965996660006
14;5;20174;306543376;140711872;214621389;0.6556283726222646
14;6;20249;301354832;141297298;215202414;0.6565785920970199
14;7;20465;296792880;143181288;217276560;0.6589817511838368
14;8;20226;291493016;141416490;214780988;0.6584218245611199
14;9;20336;287028080;141786659;215257207;0.6586848402246527
14;10;20244;281745192;141497148;215682783;0.656042851598405
15;0;0;281745192;0;0;0.0
15;1;20417;276812952;142564596;217153162;0.6565163255601132
15;2;20499;270948704;142573066;218696650;0.6519215817892043
15;3;20558;266072960;144183767;218821955;0.6589090523389209
15;4;20483;260452128;142692418;217905390;0.6548365692101512
15;5;20596;255587200;143673915;218264519;0.6582559348548996
15;6;20426;249969024;142502812;217485504;0.6552290124127077
15;7;20454;245099392;142753846;217499942;0.6563396968629996
15;8;20497;240153376;143035548;218419380;0.6548665599178974
15;9;20480;234615680;143229345;217715555;0.6578737334592377
15;10;20512;229684016;142940541;217576934;0.6569655081176942
16;0;0;229684016;0;0;0.0
16;1;20691;223760208;144939294;220484205;0.6573681502491301
16;2;20743;218462992;145297381;221055947;0.6572878177305946
