Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;22-07-2020 07-37-25;VARIANT_B;41764396010
1;22-07-2020 07-37-31;VARIANT_B;4855848380
2;22-07-2020 07-37-36;VARIANT_B;4339089153
3;22-07-2020 07-37-40;VARIANT_B;3876307013
4;22-07-2020 07-37-44;VARIANT_B;3778568675
5;22-07-2020 07-37-48;VARIANT_B;3946376354
6;22-07-2020 07-37-53;VARIANT_B;4008598100
7;22-07-2020 07-37-57;VARIANT_B;3923628770
8;22-07-2020 07-38-02;VARIANT_B;4356510977
9;22-07-2020 07-38-06;VARIANT_B;3964837568
10;22-07-2020 07-38-11;VARIANT_B;3913252245
11;22-07-2020 07-38-15;VARIANT_B;4034082186
12;22-07-2020 07-38-22;VARIANT_B;6023889678
13;22-07-2020 07-38-28;VARIANT_B;5931423569
14;22-07-2020 07-38-32;VARIANT_B;3875667674
15;22-07-2020 07-38-38;VARIANT_B;4955861329
16;22-07-2020 07-38-42;VARIANT_B;4450922966
17;22-07-2020 07-38-47;VARIANT_B;3869708103
18;22-07-2020 07-38-51;VARIANT_B;4097966313
19;22-07-2020 07-38-58;VARIANT_B;6257616416
20;22-07-2020 07-39-04;VARIANT_B;5674099441
21;22-07-2020 07-39-08;VARIANT_B;3931304296
22;22-07-2020 07-39-15;VARIANT_B;5952375875
23;22-07-2020 07-39-20;VARIANT_B;4331652811
24;22-07-2020 07-39-24;VARIANT_B;4505436345
25;22-07-2020 07-39-34;VARIANT_B;8987438610
26;22-07-2020 07-39-41;VARIANT_B;6336394415
27;22-07-2020 07-39-47;VARIANT_B;5879348382
28;22-07-2020 07-39-51;VARIANT_B;3725500339
29;22-07-2020 07-40-00;VARIANT_B;8393543019
30;22-07-2020 07-40-08;VARIANT_B;7061344546
31;22-07-2020 07-40-12;VARIANT_B;3773995412
32;22-07-2020 07-40-16;VARIANT_B;3846223294
33;22-07-2020 07-40-20;VARIANT_B;3869767578
34;22-07-2020 07-40-25;VARIANT_B;3796128515
35;22-07-2020 07-40-29;VARIANT_B;3913887275
36;22-07-2020 07-40-33;VARIANT_B;3832232697
37;22-07-2020 07-40-37;VARIANT_B;3758279485
38;22-07-2020 07-40-41;VARIANT_B;3792330624
39;22-07-2020 07-40-46;VARIANT_B;3880235112
40;22-07-2020 07-40-50;VARIANT_B;3859236036
41;22-07-2020 07-40-54;VARIANT_B;3916924244
42;22-07-2020 07-40-58;VARIANT_B;3768104873
43;22-07-2020 07-41-03;VARIANT_B;3634932599
44;22-07-2020 07-41-07;VARIANT_B;3954513010
45;22-07-2020 07-41-11;VARIANT_B;3850468046
46;22-07-2020 07-41-15;VARIANT_B;3793825435
47;22-07-2020 07-41-19;VARIANT_B;3906673999
48;22-07-2020 07-41-24;VARIANT_B;3906108798
49;22-07-2020 07-41-28;VARIANT_B;3916153740
