RunType,Mean,Std
pyjama,25255.8491230640,261.3652710601
sequential,25230.7421814360,109.6458682626
pyjama,25210.1684815680,156.9317032506
sequential,25208.7768127000,124.2312322978
sequential,25173.0263959760,124.2860014125
pyjama,25170.2143880280,103.8644355834
sequential,25152.2947993280,113.3152585018
pyjama,25144.8106257880,210.5613890726
