RunType,Mean,Std
pyjama,48233.4969161000,689.2386144825
sequential,48107.7787665640,314.9119115491
pyjama,48083.0195865400,613.3769332289
sequential,48008.8127430000,676.7234859033
sequential,47697.0402767760,997.7835254215
pyjama,47570.9547939360,444.7458623485
sequential,47096.0062744000,735.6654648505
pyjama,46030.5516788120,667.8149000613
