Run_Nr;TimeStamp;Multiplication_Variant;Timestamp
0;22-07-2020 21-50-11;VARIANT_B;1746101745
1;22-07-2020 21-50-12;VARIANT_B;1014970808
2;22-07-2020 21-50-13;VARIANT_B;468249065
3;22-07-2020 21-50-14;VARIANT_B;469079192
4;22-07-2020 21-50-14;VARIANT_B;499138009
5;22-07-2020 21-50-15;VARIANT_B;467186191
6;22-07-2020 21-50-15;VARIANT_B;512305431
7;22-07-2020 21-50-16;VARIANT_B;481953161
8;22-07-2020 21-50-16;VARIANT_B;479743193
9;22-07-2020 21-50-17;VARIANT_B;517217947
10;22-07-2020 21-50-17;VARIANT_B;474855289
11;22-07-2020 21-50-18;VARIANT_B;482192882
12;22-07-2020 21-50-19;VARIANT_B;514713677
13;22-07-2020 21-50-19;VARIANT_B;473601521
14;22-07-2020 21-50-20;VARIANT_B;487194340
15;22-07-2020 21-50-20;VARIANT_B;476631982
16;22-07-2020 21-50-21;VARIANT_B;557907480
17;22-07-2020 21-50-21;VARIANT_B;526774657
18;22-07-2020 21-50-22;VARIANT_B;477146023
19;22-07-2020 21-50-23;VARIANT_B;478854580
20;22-07-2020 21-50-23;VARIANT_B;477694478
21;22-07-2020 21-50-24;VARIANT_B;540897528
22;22-07-2020 21-50-24;VARIANT_B;489360951
23;22-07-2020 21-50-25;VARIANT_B;478166171
24;22-07-2020 21-50-25;VARIANT_B;476319602
25;22-07-2020 21-50-26;VARIANT_B;479249943
26;22-07-2020 21-50-27;VARIANT_B;491179197
27;22-07-2020 21-50-27;VARIANT_B;469190335
28;22-07-2020 21-50-28;VARIANT_B;485162816
29;22-07-2020 21-50-28;VARIANT_B;469092032
30;22-07-2020 21-50-29;VARIANT_B;542541220
31;22-07-2020 21-50-29;VARIANT_B;489984099
32;22-07-2020 21-50-30;VARIANT_B;481808316
33;22-07-2020 21-50-30;VARIANT_B;484121562
34;22-07-2020 21-50-31;VARIANT_B;476095383
35;22-07-2020 21-50-32;VARIANT_B;524827960
36;22-07-2020 21-50-32;VARIANT_B;462491465
37;22-07-2020 21-50-33;VARIANT_B;479098755
38;22-07-2020 21-50-33;VARIANT_B;473530058
39;22-07-2020 21-50-34;VARIANT_B;479655418
40;22-07-2020 21-50-34;VARIANT_B;471238626
41;22-07-2020 21-50-35;VARIANT_B;529116461
42;22-07-2020 21-50-36;VARIANT_B;469486260
43;22-07-2020 21-50-36;VARIANT_B;498931485
44;22-07-2020 21-50-37;VARIANT_B;485155807
45;22-07-2020 21-50-37;VARIANT_B;472899734
46;22-07-2020 21-50-38;VARIANT_B;552525274
47;22-07-2020 21-50-38;VARIANT_B;475078284
48;22-07-2020 21-50-39;VARIANT_B;529559977
49;22-07-2020 21-50-40;VARIANT_B;475568467
50;22-07-2020 21-50-40;VARIANT_B;469234928
51;22-07-2020 21-50-41;VARIANT_B;485922354
52;22-07-2020 21-50-41;VARIANT_B;473967718
53;22-07-2020 21-50-42;VARIANT_B;468747761
54;22-07-2020 21-50-42;VARIANT_B;467324780
55;22-07-2020 21-50-43;VARIANT_B;473070571
56;22-07-2020 21-50-43;VARIANT_B;503295841
57;22-07-2020 21-50-44;VARIANT_B;475102635
58;22-07-2020 21-50-45;VARIANT_B;531237494
59;22-07-2020 21-50-45;VARIANT_B;468620123
60;22-07-2020 21-50-46;VARIANT_B;645960286
61;22-07-2020 21-50-46;VARIANT_B;460552417
62;22-07-2020 21-50-47;VARIANT_B;470428935
63;22-07-2020 21-50-48;VARIANT_B;563049274
64;22-07-2020 21-50-48;VARIANT_B;479487577
65;22-07-2020 21-50-49;VARIANT_B;474295562
66;22-07-2020 21-50-49;VARIANT_B;507887664
67;22-07-2020 21-50-50;VARIANT_B;476795534
68;22-07-2020 21-50-50;VARIANT_B;466960860
69;22-07-2020 21-50-51;VARIANT_B;485401276
70;22-07-2020 21-50-52;VARIANT_B;515057942
71;22-07-2020 21-50-52;VARIANT_B;474292446
72;22-07-2020 21-50-53;VARIANT_B;461822334
73;22-07-2020 21-50-53;VARIANT_B;460956877
74;22-07-2020 21-50-54;VARIANT_B;483003511
75;22-07-2020 21-50-54;VARIANT_B;468405090
76;22-07-2020 21-50-55;VARIANT_B;477116659
77;22-07-2020 21-50-55;VARIANT_B;627836421
78;22-07-2020 21-50-56;VARIANT_B;480360332
79;22-07-2020 21-50-57;VARIANT_B;509385270
80;22-07-2020 21-50-57;VARIANT_B;472765219
81;22-07-2020 21-50-58;VARIANT_B;469117424
82;22-07-2020 21-50-58;VARIANT_B;468978472
83;22-07-2020 21-50-59;VARIANT_B;469811205
84;22-07-2020 21-50-59;VARIANT_B;472413535
85;22-07-2020 21-51-00;VARIANT_B;461310145
86;22-07-2020 21-51-01;VARIANT_B;761410209
87;22-07-2020 21-51-01;VARIANT_B;469198491
88;22-07-2020 21-51-02;VARIANT_B;480132530
89;22-07-2020 21-51-02;VARIANT_B;459883491
90;22-07-2020 21-51-03;VARIANT_B;462862087
91;22-07-2020 21-51-04;VARIANT_B;506109813
92;22-07-2020 21-51-04;VARIANT_B;464573920
93;22-07-2020 21-51-05;VARIANT_B;501091612
94;22-07-2020 21-51-05;VARIANT_B;467044371
95;22-07-2020 21-51-06;VARIANT_B;506710884
96;22-07-2020 21-51-06;VARIANT_B;473569928
97;22-07-2020 21-51-07;VARIANT_B;475512470
98;22-07-2020 21-51-07;VARIANT_B;512232459
99;22-07-2020 21-51-08;VARIANT_B;479141842
