Threads,STREAM-COPY
1,12890000
2,25373000
4,48546000
6,73096000
8,90935000
10,115242000
12,111459000
14,131449000
16,150576000
18,169578000
20,155719000
22,155247000
24,169668000
28,183252000
32,182728000
36,179109000
40,200648000
48,189959000
56,184031000
64,184142000
72,172228000
80,182380000
88,185358000
96,187748000
104,169347000
112,172880000
120,173798000
128,190406000
136,192675000
144,203947000
152,216627000
160,228697000
168,237806000
176,248450000
184,250238000
192,275487000
