Threads,Mean,Std,SpeedUp Real,Accuracy Real,Sim Without Memory Hierachy,SpeedUp Sim Without Memory Hierachy,Accuracy Without Memory Hierarchy,Sim Data Read Model,SpeedUp Sim Data Read Model,Accuracy Sim Data Read Model,Recalibrated Sim Data Read Model,SpeedUp Recalibrated Sim Data Read Model,Accuracy Recalibrated Sim Data Read Model,Sim Recalib With Cache Line,SpeedUp Sim Recalib With Cache Line,Accuracy Sim Recalib With Cache Line,Sim With Cacheline and Multicore Scaling L3-Dram Bandwidth,SpeedUp Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth,Accuracy Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth
1,16952.60629,252.801114,1,0,16952,1,-0.00003576397219,19033,0.8906954391,0.1227182223,16952,1,-0.00003576397219,16952,1,-0.00003576397219,16952,1,-0.00003576397219
2,8825.787602,601.776817,1.920803792,0,8576,1.976679104,-0.02830201827,9617,1.762774908,0.08964779504,8576,1.976679104,-0.02830201827,8589,1.973687274,-0.02682906191,8574,1.977140191,-0.02852862694
4,4665.060522,231.2720197,3.63395206,0,4338,3.907791609,-0.07010852704,4862,3.486755716,0.04221584636,4342,3.904191617,-0.06925108908,4364,3.884509624,-0.06453518027,4340,3.905990783,-0.06967980806
6,3262.171671,102.9231056,5.196724146,0,2925,5.795555556,-0.1033580403,3276,5.174788246,0.00423899487,2929,5.787640833,-0.1021318633,2956,5.734776725,-0.09385516824,2924,5.79753762,-0.1036645846
8,2514.610111,67.66562097,6.741644049,0,2219,7.639477242,-0.1175570359,2484,6.82472073,-0.01217290546,2224,7.622302158,-0.1155686561,2248,7.540925267,-0.106024433,2219,7.639477242,-0.1175570359
10,2103.000447,59.03183259,8.061152016,0,1795,9.444011142,-0.1464576231,2009,8.438330658,-0.04469825342,1800,9.417777778,-0.1440800678,1825,9.288767123,-0.1321922909,1795,9.444011142,-0.1464576231
12,1765.418499,59.11781796,9.602599212,0,1512,11.21164021,-0.1435458502,1692,10.01927086,-0.04158702284,1518,11.16732543,-0.1401472226,1545,10.97216828,-0.1248533985,1514,11.19682959,-0.1424129743
14,1531.133395,58.83631382,11.07193296,0,1310,12.94045802,-0.1444246434,1465,11.57174491,-0.04319244473,1317,12.87167806,-0.1398528667,1340,12.65074627,-0.1248313146,1312,12.92073171,-0.1431184215
16,1360.954462,69.5035343,12.45640965,0,1159,14.62640207,-0.1483917849,1295,13.09081567,-0.04846191671,1165,14.55107296,-0.1439831143,1184,14.31756757,-0.1300223238,1160,14.6137931,-0.1476570065
18,1200.497737,63.99484618,14.12131466,0,1041,16.28434198,-0.132859673,1163,14.57661762,-0.03123515826,1048,16.17557252,-0.1270287583,1068,15.87265918,-0.1103690017,1042,16.26871401,-0.1320266852
