Threads,Mean,Std,SpeedUp Real,Accuracy Real,Sim Without Memory Hierachy,SpeedUp Sim Without Memory Hierachy,Accuracy Without Memory Hierarchy,Sim Data Read Model,SpeedUp Sim Data Read Model,Accuracy Sim Data Read Model,Recalibrated Sim Data Read Model,SpeedUp Recalibrated Sim Data Read Model,Accuracy Recalibrated Sim Data Read Model,Sim Recalib With Cache Line,SpeedUp Sim Recalib With Cache Line,Accuracy Sim Recalib With Cache Line,Sim With Cacheline and Multicore Scaling L3-Dram Bandwidth,SpeedUp Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth,Accuracy Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth
1,576588.5533,1613.462038,1,0,576588,1,-0.000000959574268,653617,0.8821504846,0.1335934373,576588,1,-0.000000959574268,576588,1,-0.000000959574268,576588,1,-0.000000959574268
2,375951.2347,4277.345249,1.533679105,0,288394,1.999306504,-0.2328951913,331331,1.740219156,-0.1186862301,292817,1.969106985,-0.2211303676,360942,1.59745333,-0.03992335534,324935,1.774471817,-0.1356990748
4,292024.5588,6781.821844,1.974452271,0,144247,3.997226979,-0.506044969,168273,3.426506649,-0.4237710668,149016,3.869302625,-0.4897141508,222205,2.594847101,-0.2390879696,164336,3.508592153,-0.4372528096
6,208839.7788,6744.113128,2.760913445,0,96198,5.993762864,-0.5393693647,112190,5.139393469,-0.4627939149,99352,5.803486593,-0.5242668779,148273,3.888691805,-0.2900155285,106733,5.402153036,-0.4889239943
8,161210.9268,3336.371138,3.576609631,0,72173,7.988970945,-0.5523070213,84179,6.849553372,-0.4778331613,74550,7.734245473,-0.5375623632,111804,5.157132124,-0.306473809,77528,7.437158188,-0.51908967
10,131408.3137,2961.83885,4.387763125,0,57758,9.98282489,-0.5604692095,67358,8.560060472,-0.487414471,59655,9.665375911,-0.5460332888,89682,6.429250017,-0.3175317644,62654,9.202732467,-0.5232112929
12,111580.373,1572.632152,5.167472899,0,48149,11.97507736,-0.5684814567,56165,10.2659762,-0.4966408651,49746,11.59064045,-0.5541689037,75280,7.659245484,-0.3253293747,51226,11.25576856,-0.5409049222
14,96887.19148,1457.693515,5.951132905,0,41284,13.96637923,-0.5738962048,48155,11.97359679,-0.502978678,42653,13.51811127,-0.5597663701,64689,8.913230998,-0.3323266057,44370,12.99499662,-0.5420447293
16,85511.08881,1648.274715,6.742851264,0,36136,15.9560549,-0.5774115322,42133,13.68496317,-0.5072802769,37319,15.45025322,-0.5635770691,56315,10.23862204,-0.3414304415,39465,14.61011022,-0.5384809087
18,75607.52409,1049.236152,7.62607373,0,32132,17.94435454,-0.5750158415,37481,15.38348906,-0.5042689144,33201,17.36658534,-0.5608770371,50201,11.48558794,-0.3360316899,34205,16.8568338,-0.5475979354
20,68809.38783,1315.038599,8.379504185,0,28929,19.93114176,-0.5795777159,33820,17.04874492,-0.5084972986,29969,19.2394808,-0.5644634991,45030,12.80453031,-0.3455834818,31457,18.32940204,-0.5428385429
24,57788.71269,1243.367617,9.97752894,0,24124,23.90101144,-0.5825482369,28368,20.32531561,-0.5091082898,25158,22.91867398,-0.5646554694,37323,15.44859738,-0.3541472329,25436,22.66818682,-0.5598448414
28,49370.81749,1423.481305,11.67873215,0,20692,27.86526194,-0.5808860163,24461,23.57174904,-0.5045453723,21710,26.55863657,-0.5602665481,31798,18.13283854,-0.3559353153,22275,25.88498316,-0.5488225407
32,44823.20351,1092.54512,12.86361768,0,18118,31.82404239,-0.595789712,21540,26.76827081,-0.5194453249,19133,30.13578634,-0.5731451904,27977,20.60935769,-0.3758366693,19082,30.21632953,-0.574282994
36,38634.41276,1747.209128,14.92422201,0,16116,35.77736411,-0.5828589372,19236,29.97445172,-0.5021019183,17097,33.72451307,-0.5574670669,24652,23.38909622,-0.3619160164,17196,33.5303559,-0.5549045845
40,35288.03168,1790.501038,16.33949319,0,14514,39.7263332,-0.588699077,17383,33.16968034,-0.5073967242,15457,37.30271075,-0.5619761357,22306,25.84900924,-0.3678876679,15216,37.89353312,-0.5688056467
48,30827.67996,2407.498663,18.70359865,0,12112,47.60468956,-0.6071063402,14495,39.77844452,-0.5298056804,12890,44.73141971,-0.5818692805,18731,30.78255299,-0.3923967023,12858,44.84274382,-0.5829073087
56,27221.33579,1625.504142,21.18149373,0,10396,55.46248557,-0.6180936865,12392,46.52909565,-0.5447688498,11016,52.34095861,-0.5953174346,16322,35.32581791,-0.4003968017,10961,52.60359456,-0.5973379086
64,25659.53137,2041.107444,22.47073592,0,9109,63.29871556,-0.6450052081,10852,53.13200823,-0.5770772333,9648,59.76243781,-0.6239993685,15281,37.73234736,-0.4044708074,9760,59.07663934,-0.6196345187
72,22149.47538,1641.756719,26.03170249,0,8108,71.11346818,-0.6339416685,9691,59.4973226,-0.5624727071,8621,66.88180026,-0.610780849,16215,35.55892692,-0.2679284847,8928,64.58198925,-0.5969204756
80,21831.36498,3423.473889,26.41101707,0,7307,78.90899138,-0.6652980697,9037,63.8030932,-0.5860542844,8074,71.41293039,-0.6301651314,19580,29.44780388,-0.1031252504,8882,64.91646026,-0.5931541611
