Threads,Mean,Std,SpeedUp Real,Accuracy Real,Sim Without Memory Hierachy,SpeedUp Sim Without Memory Hierachy,Accuracy Without Memory Hierarchy,Sim Data Read Model,SpeedUp Sim Data Read Model,Accuracy Sim Data Read Model,Recalibrated Sim Data Read Model,SpeedUp Recalibrated Sim Data Read Model,Accuracy Recalibrated Sim Data Read Model,Sim Recalib With Cache Line,SpeedUp Sim Recalib With Cache Line,Accuracy Sim Recalib With Cache Line,Sim With Cacheline and Multicore Scaling L3-Dram Bandwidth,SpeedUp Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth,Accuracy Sim With Cache Line and Multicore Scaling L3-Dram Bandwidth
1,321701.8895,1943.871916,1,0,321701,1,-0.00000276505513,384483,0.8367129093,0.1951530672,321701,1,-0.00000276505513,321701,1,-0.00000276505513,321701,1,-0.00000276505513
2,179704.4979,3206.304432,1.790171606,0,160950,1.998763591,-0.1043629853,194773,1.651676,0.08385155797,163383,1.968999223,-0.09082409217,201552,1.596119116,0.1215745982,156628,2.053917563,-0.1284135798
4,88826.27816,3025.003423,3.621697275,0,80525,3.995045017,-0.09345520643,98601,3.262663558,0.1100431318,82905,3.880357035,-0.06666133361,120150,2.677494798,0.3526402601,83880,3.835252742,-0.0556848521
6,60885.66397,2580.527527,5.283705039,0,53716,5.988923226,-0.1177561925,66319,4.850825397,0.08923834741,55855,5.759573897,-0.08262476975,89207,3.606230453,0.4651560678,61762,5.208720573,0.01439314243
8,45296.03674,969.1397242,7.102208332,0,40312,7.980278825,-0.1100325127,50309,6.394519659,0.1106711232,41826,7.69141204,-0.07660795485,65957,4.877435299,0.4561318109,45064,7.138758211,-0.005122671958
10,37060.07106,1512.347531,8.68055242,0,32270,9.969042454,-0.1292515347,40693,7.905583012,0.0980281159,33459,9.614782271,-0.09716848771,52689,6.105657727,0.4217188066,36275,8.868394211,-0.02118374403
12,37012.16609,800.7914701,8.691787687,0,26908,11.95558942,-0.2729958055,34529,9.316860886,-0.06709053689,28957,11.1096108,-0.2176356302,60925,5.280279032,0.6460803684,37397,8.602321042,0.01039749753
14,36733.44924,1442.955324,8.757737053,0,23078,13.93972615,-0.3717442692,30152,10.66933834,-0.1791677444,25667,12.53364242,-0.3012635479,65277,4.928244251,0.7770452093,36661,8.775019776,-0.001972296271
16,33762.35205,1238.51737,9.528420564,0,20206,15.92106305,-0.4015227383,27748,11.59369647,-0.1781378276,23824,13.50323203,-0.2943619578,78914,4.076602377,1.337337159,42277,7.609362064,0.2521935658
18,33445.31668,1582.315347,9.618742516,0,17972,17.90012241,-0.4626452435,24678,13.03597899,-0.2621388449,21190,15.18173667,-0.3664284838,70464,4.565466054,1.106842063,37751,8.521655055,0.1287380042
20,32122.20534,1231.850237,10.01493783,0,16185,19.87649058,-0.4961429383,22068,14.57775465,-0.3129986013,18929,16.99513973,-0.4107191646,61153,5.260592285,0.903760945,31747,10.13327244,-0.01168055991
